state,source_type,agency,bulk_available,format,cost,update_frequency,fields_of_interest,url,confidence,notes
AK,sos_registry,Alaska DCCED Division of Corporations Business and Professional Licensing,yes,CSV,free,unknown,"CORPTYPE; ENTITYNUMBER; LEGALNAME; ASSUMEDNAME; STATUS; AKFORMEDDATE (formation date); DURATIONEXPIRATIONDATE; NEXTBRDUEDATE; REGISTEREDAGENT; full entity mailing and physical address; no NAICS in this file",https://www.commerce.alaska.gov/cbp/main/DbDownload/CorporationsDownload,high,"full corporations database; ~42 MB CSV; no registration or fee required; download confirmed"
AK,sos_registry,Alaska DCCED CBPL - Business Licensing,yes,CSV,free,unknown,"Owners; LicenseNumber; BusinessName; Status; IssueDate; RenewDate; ExpireDate; physical and mailing address; no NAICS column despite the agency describing NAICS filtering",https://www.commerce.alaska.gov/cbp/main/DbDownload/BusinessLicenseDownload,high,"statewide business license file; ~22 MB CSV; a geocoded ~88% subset is also published as an ArcGIS service on the state geoportal"
AK,contractor_board,Alaska DCCED CBPL - Construction Contractors program,yes,CSV,free,unknown,"Program (Construction Contractors ~8100; Residential Contractor Endorsement ~990; Electrical Administrators ~900; Mechanical Administrators ~580); ProfType; LicenseNum; DBA; Owners; Status; DateIssued; DateEffective; DateExpired; street address; no NAICS",https://www.commerce.alaska.gov/cbp/main/DbDownload/ProfessionalLicenseDownload,high,"Alaska has no separate contractor board - contractors are a program inside the CBPL professional license CSV; download confirmed"
AK,professional_board,Alaska DCCED CBPL - Professional Licensing (all boards),yes,CSV,free,unknown,"Program and ProfType cover Barbers and Hairdressers (~5750); Veterinary; Dental; Medical; Pharmacy; Real Estate; Collection Agencies; plus LicenseNum; DBA; Owners; Status; DateIssued; DateEffective; DateExpired; street address; no NAICS",https://www.commerce.alaska.gov/cbp/main/DbDownload/ProfessionalLicenseDownload,high,"single ~17 MB CSV covering every professional board in one file; no registration required"
AK,ucc,Alaska Department of Natural Resources - State Recorder's Office UCC Central File,no,HTML only,unlisted,unknown,debtor and secured party name; document number; filing date; active/inactive/lapsed status; UCC-1 shows active 5 years then lapsed for 1 year; no bulk extract,https://dnr.alaska.gov/ssd/recoff/ucc,high,"Alaska UCC is filed with DNR not the corporations division; name/document-number/date search UI plus an Online Copy Request form; 100+ document pulls require an appointment with the Recorder's Office"
AZ,sos_registry,Arizona Corporation Commission - Corporations Division,yes,double-quote delimited CSV (ASCII); emailed file or CD-ROM,"$75.00 (information extract); $1,000.00 (entire database)",unknown (produced per request),"incorporation date; approval date; entity status; business type; business name and address; domicile by county/city/zip; statutory agent name+address; officer/director names; name-change and merger info; NO SIC/NAICS (explicitly unavailable)",https://www.azcc.gov/docs/default-source/corps-files/forms/m027-database-extraction-request4afa009930ae4583a9310593ba4c65ce.pdf,high,"bulk only via A.R.S. 39-121.03 public-records Database Extraction Request form; must declare commercial purpose and ACC may deny; check/money order only; no credit cards"
AZ,sos_registry,Arizona Secretary of State - Business Services Division (Trade Name/Trademark/Partnership Index),yes,delimited text file,"$2,000 full index file; $600/year monthly subscription; $50 single monthly request",monthly (subscription) or one-time full file,trade name/DBA registrations; registration records; service agent; registrant address; no NAICS,https://azsos.gov/services/database-purchasing,high,"DBA/trade-name index complements ACC entity data; ordered via Public Records Request form with check or money order"
AZ,contractor_board,Arizona Registrar of Contractors (AZ ROC),no,HTML only,free,search updated continuously; posting list published periodically,license number; license status; issue/expiration date; classification (GC/HVAC/plumbing/electrical); business name and address; no NAICS; no bulk export,https://roc.az.gov/search,med,"no published bulk download or API; one-at-a-time search UI plus an HTML posting list of licenses pending issuance; bulk would require a public-records request to ROC (site is Cloudflare-protected and could not be fetched; details from search results)"
AZ,professional_board,Arizona Barbering and Cosmetology Board,yes,unknown (list produced by staff on request),unlisted,unknown,license number; licensee first/last name; mailing address; email; license status and establishment/salon records via the public lookup tool; no NAICS,https://bcb.az.gov/records-reproduction-request,med,"bulk licensee lists (statewide or by area; explicitly for marketing/commercial use) only via the Board's Records Reproduction Request form; fee not published; site Cloudflare-blocked so details from search results"
AZ,ucc,Arizona Secretary of State - Business Services Division (UCC),yes,ASCII tab-separated values (images as GIF/TIFF),"$2,000 full index file; $24,000 full index with images; $1,800 annual UCCMI subscription ($150 per issue); $4,800 annual subscription with images; $800 single monthly issue with images",monthly - UCCMI published on the 2nd of each month; 12 issues/year,date filed and date entered; lien status for affected filings; current debtors; secured parties; filing number; collateral is NOT captured and NOT available; no NAICS,https://azsos.gov/sites/default/files/2023-11/bsd_ucc_filing_index_options_fontes.pdf,high,must be requested in writing with check or money order; full index has 8-12 week delivery
AR,sos_registry,Arkansas Secretary of State - Business & Commercial Services,yes,CSV or XML,unlisted,unknown,entity name; fictitious/DBA name; filing number; entity type; status; registered agent name and address; principal address; filing/registration date; no NAICS,https://portal.arkansas.gov/service/ar-corp-bulk-data-download/,med,"sold through the Information Network of Arkansas / Tyler Arkansas subscriber account (portal reseller); no price published on the SOS fee schedule - BCS says contact corprequest@sos.arkansas.gov; a free Special Request List Builder also exists at sos-special.ark.org"
AR,contractor_board,Arkansas Contractors Licensing Board (Dept of Labor and Licensing),yes,CSV,free,nightly (file downloaded 09-11-2026 carried that day's export date),"license number; expiration date; classification (Class Desc / Specialty incl. HVAC; electrical; plumbing); commercial vs residential flag; business name; DBA; street address; city; state; zip; county; phone; email; bid limit; entity style (Corporation/LLC/etc); officer names; no NAICS; no separate status column",http://aclb2.arkansas.gov/latestroster.csv,high,"open anonymous download; no registration; verified 6.0 MB / ~17,872 rows; HTTP only; HTTPS refuses connection"
AR,contractor_board,Arkansas Board of Electrical Examiners (Dept of Labor and Licensing),yes,ZIP / tab-delimited text,unlisted,daily,license number; expiration date; first/last name; business name; title; address; city; state; zip; phone; county; no license status field; no NAICS,https://portal.arkansas.gov/service/ar-electrician-licensee-data-download/,med,"purchased by Visa/Mastercard/Discover through the ark.org roster-download system (Tyler); price not published; and the legacy ark.org/rosterdl endpoint now redirects to app.ar.tylertech.com and returned 'Invalid Agency' on probe; so current availability is uncertain"
AR,professional_board,Arkansas Department of Labor and Licensing - consolidated licensing rosters,no,HTML only (with per-search export),free,unknown,"covers 16 boards incl. HVAC/R; Electricians; Barbers; Auctioneers; Home Inspectors; Motor Vehicle Commission; Appraisers; Architects; license number; status; expiration; licensee/business name; city; no NAICS; exports capped per search",https://labor.arkansas.gov/resources/rosters/,med,"per-board search UIs with limited export rather than a single bulk file; full datasets otherwise via Arkansas FOIA request to the Dept of Labor Legal Division"
AR,ucc,Arkansas Secretary of State - Business & Commercial Services (UCC),yes,unknown,unlisted,unknown,financing statements; amendments; terminations; debtor and secured party names and addresses; filing dates; lapse/termination status; no NAICS,https://bcs.sos.arkansas.gov/data-requests,med,"UCC bulk download moving to the new BCS platform where all bulk data requests must be made; no price on the published BCS fee schedule - contact ucc@sos.arkansas.gov; older path was the INA/Tyler bulk-data subscriber portal"
CA,sos_registry,California Secretary of State (bizfile Online BE bulk orders),yes,ZIP/flat text,unlisted,weekly,entity name; entity number; registration/filing date; entity status; entity type; principal and agent addresses; no NAICS,https://www.sos.ca.gov/business-programs/bizfile/,med,"bulk orders placed through a free bizfile Online user account; no business-entity bulk price appears in the BE fee schedule or BE records-request instructions; so price is unpublished"
CA,sos_registry,California Secretary of State CALICO API Developer Portal,api,JSON API,unlisted,daily,entity name; entity number; registration date; entity status; entity type; agent and address; capped at top 150 matches per query; no NAICS,https://calicodev.sos.ca.gov/apis,med,free sign-up plus Azure API Management subscription key required; query-capped so not a bulk substitute
CA,contractor_board,Contractors State License Board (CSLB) Public Data Portal,yes,XLS/CSV,free,unknown,license number; business name; address; license status; issue and expiration dates; classification codes (C-10 etc; not NAICS); bond dates; workers comp policy dates; personnel names and titles,https://www.cslb.ca.gov/onlineservices/dataportal/ContractorList.aspx,high,"page states There is no charge for this service; cadence shown only as a date stamp beside each file; CSLB is excluded from the DCA licensee lists"
CA,professional_board,Department of Alcoholic Beverage Control (ABC) daily data export,yes,ZIP/CSV,free,daily,license type; file number; license/application status; original issue date; expiration date; primary name; DBA name; premises street address; city; zip; county; census tract; no NAICS,https://www.abc.ca.gov/wp-content/uploads/DailyExport-CSV.zip,high,open direct download with no registration; fixed-width twin at DailyExport.zip; confirmed 7.4 MB last-modified 2026-09-11
CA,professional_board,Department of Consumer Affairs (DCA) licensee lists,yes,XLSX,free,monthly,license number; licensee or business name; address; license issue date; expiration date; license status (Current/Delinquent/Inactive); board code; no NAICS,https://www.dca.ca.gov/consumers/public_info/index.shtml,high,"files served from a public dca.box.com folder with one subfolder per board (Dental; Veterinary; Structural Pest; Pharmacy etc); page states data is refreshed automatically at the beginning of each month; no fee stated"
CA,ucc,California Secretary of State UCC (bizfile Online bulk orders),yes,ZIP/flat text,$100.00,weekly,UCC-1 financing statement records; debtor and secured party names and addresses; filing date; lapse/continuation/termination filings; document type; record layout not published online; no NAICS,https://bpd.cdn.sos.ca.gov/ucc/ucc-fee-schedule.pdf,high,"fee schedule lists Master Unload - Data $100.00; Master Unload - Images $800.00; Master Unload - Data & Images $900.00; and Data Download / Images Download / Data & Images Download as Free; ordered via bizfile Online account"
CO,sos_registry,Colorado Department of State (Secretary of State) via Colorado Information Marketplace,yes,CSV,free,daily,entity ID; entity name; entity status; entity type; entity formation date; principal and mailing address; registered agent name and address; no NAICS,https://data.colorado.gov/Business/Colorado-Business-Entities/4ykn-tg5h,high,"full Socrata bulk CSV plus SODA API with no registration; over 1M records back to 1864; rows last updated 2026-09-10"
CO,sos_registry,Colorado Department of State trade name (DBA) registry,yes,CSV,free,daily,trade name; entity ID; trade name effective date; dateAdded; entityStatus; entityFormDate; registrant organization/person; street and mailing address; no NAICS,https://data.colorado.gov/Business/Colorado-Tradenames/u7sb-g482,high,286893 rows; free; links storefront DBA names to the entity file for main-street matching
CO,contractor_board,DORA Division of Professions and Occupations (electrical/plumbing and all licensed trades),yes,CSV,free,daily,licensePrefix and subCategory (trade type); license number; licenseFirstIssueDate; licenseLastRenewedDate; licenseExpirationDate; licenseStatusDescription; discipline case and action dates; city/state/zip only (no street address); no NAICS,https://data.colorado.gov/Regulations/Professional-and-Occupational-Licenses-in-Colorado/7s5z-vewr,high,DORA directs bulk users to this nightly Colorado Information Marketplace dataset; filter licensePrefix for electrical and plumbing; the DORA lookup UI expressly prohibits crawling
CO,professional_board,Colorado Department of Revenue Liquor Enforcement Division,yes,CSV,free,monthly,licensee name; doing_business_as; license number; license type; expiration date; street address; city; zip; geocoded location; NO issue/first-license date; no NAICS,https://data.colorado.gov/Regulations/Liquor-Licenses-in-Colorado/ier5-5ms2,high,active licenses only (20539 rows); dataset metadata states updated on the 6th of each month; free
CO,ucc,Colorado Department of State UCC filing information,yes,CSV,free,daily,transactionId; masterDocumentId; fileId; filing date; lapse date; filing type; document type; continuation flag; termination flag; no address (join to debtor file); no NAICS,https://data.colorado.gov/Business/Colorado-Uniform-Commercial-Code-Filing-Informatio/wffy-3uut,high,free bulk CSV plus SODA API; lapseDate and terminationFlag are the direct succession signals
CO,ucc,Colorado Department of State UCC debtor information,yes,CSV,free,daily,organizationName or person name; address1/2; city; state; zipcode; recordStatus; actionType; organizationType; fileId join key; no filing date (join to filing file); no NAICS,https://data.colorado.gov/Business/Colorado-Uniform-Commercial-Code-Debtor-Informatio/8upq-58vz,high,2014829 rows; free; join on fileId to the UCC filing dataset to get debtor address plus lapse date
CT,sos_registry,CT Secretary of the State - Business Services Division,yes,CSV/JSON API,free,daily,entity name; business type; Status and Sub_status; NAICS_Code and NAICS_Sub_Code; Date_Registration; Began_Transacting_in_CT; Annual_Report_Due_Date; Dissolution_date; full business and mailing address,https://data.ct.gov/Business/Connecticut-Business-Registry-Business-Master/n7gp-d28j,high,"free Socrata open data (public domain) ~1.3M rows; refreshed nightly per SOTS bulk-data page"
CT,sos_registry,CT Secretary of the State Business Services (filing history table),yes,CSV/JSON API,free,daily,account key (joins to Business Master); filing_date; effective_date; filing_type; report_year; date_forfeited; organizer/incorporator name; no NAICS; no address,https://data.ct.gov/d/ah3s-bes7,high,table fully replaced 1st of each month then appended daily; gives annual-report lapse and forfeiture timing
CT,contractor_board,CT Department of Consumer Protection (eLicense roster generator),yes,HTML/CSV download,free,daily,credential number; credential/license type; business name and DBA; individual name; status; issue/effective/expiration dates; address; no NAICS,https://www.elicense.ct.gov/lookup/GenerateRoster.aspx,med,"self-service roster builder labeled ""(No Fee Required)"" and no login needed; export format not stated on the page"
CT,professional_board,CT DAS & Dept of Consumer Protection (consolidated eLicense extract),yes,CSV/JSON API,free,daily,CredentialNumber; CredentialType and CredentialSubCategory; BusinessName; DBA; Status and StatusReason; IssueDate; EffectiveDate; ExpirationDate; address; no NAICS,https://data.ct.gov/Business/State-Licenses-and-Credentials/ngch-56tr,high,"single consolidated dump of all ~800 CT credential types (barber/cosmetology; trades; food; health) as open data"
CT,professional_board,CT DCP Liquor Control Division,yes,CSV/JSON API,free,unknown,DBA; backer and permittee names and addresses; permit street address; credential type; Effective Date; Expire Date; Status; Reason; no NAICS,https://data.ct.gov/dataset/Liquor-Permits/gwv2-eswx,high,contains backer/permittee personal names - keep off public pages per house rules; update cadence not published in metadata
CT,ucc,CT Secretary of the State Business Services (UCC/lien index),yes,CSV/JSON API,free,daily,Filing Date; Lapse Date; Lien Status; Filing Type and Lien Type; debtor business name and address; secured party name and address; no NAICS,https://data.ct.gov/Business/Uniform-Commercial-Code-UCC-Lien-Filings-4-0-Revis/xfev-8smz,high,"index is free but holds only active liens or ones under 1yr past lapse; filing images sold separately as a SharePoint subscription at ""$1,000/year"""
DE,sos_registry,DE Department of State Division of Corporations,no,HTML only,$10.00 per entity for status or $20.00 per entity for more detailed information,unknown,"free name search returns entity name; file number; incorporation date; entity type; registered agent; paid status adds franchise-tax standing and filing history; no NAICS; no principal address",https://corp.delaware.gov/directweb/,high,"no bulk file and no API - 8 Del. C. 391(c) expressly exempts ""bulk data; digital copies of instruments; documents and other papers; databases or other information"" from FOIA; so Dept of State FOIA yields only per-file-number image copies"
DE,sos_registry,DE Division of Revenue (Dept of Finance) business license file,yes,CSV/JSON API,free,daily,business_name; trade_name; category/business activity (e.g. RESIDENT CONTRACTOR); license_number; current_license_valid_from; current_license_valid_to; street address + city/state/zip + geocoded_location; no NAICS,https://data.delaware.gov/Licenses-and-Certifications/Delaware-Business-Licenses/5zy2-grhr/about_data,high,the only true bulk DE business universe - use as the substitute for the Division of Corporations registry; public domain
DE,contractor_board,DE Department of Labor Division of Industrial Affairs (Contractor Registration Act registry),no,HTML only,free,unknown,business name; certification number; NAICS code and industry (both searchable); ZIP; presence on list implies compliant/active registration; no issue date shown,https://contractorregistry.delaware.gov/,high,free public lookup with no export or API - blank name search paginates the whole list; NAICS is searchable which is unusual and useful
DE,professional_board,DE Department of State Division of Professional Regulation (DELPROS),yes,CSV/JSON API,free,daily,license_no; license_type and profession_id; license_status; issue_date; expiration_date; disciplinary_action flag; licensee name; city/state/zip only; no street address; no NAICS,https://data.delaware.gov/Licenses-and-Certifications/Professional-and-Occupational-Licensing/pjnv-eaih,high,200k+ licenses across 54 professions incl. electrician/plumber/HVACR; cosmetology; funeral; person-level so no business name column
DE,ucc,DE Division of Corporations UCC Information System,no,HTML only,unlisted,unknown,per-debtor certified search report gives filing number; filing date; debtor and secured party; lapse status; no bulk extract; no NAICS; no industry,https://corp.delaware.gov/uccauthsrch/,high,"non-""search to reflect"" searches must be run by one of 26 state-certified Authorized Searchers (private resellers such as CSC; CT Corporation; Capitol Services) who set their own prices; state publishes only filing/copy fees (""$10.00 for the first page; $2.00 for each additional page"")"
FL,sos_registry,Florida Department of State Division of Corporations (Sunbiz),yes,ZIP/fixed-width ASCII,free,daily and quarterly,"entity name; formation/file date; status (active/inactive); principal and mailing address; registered agent; up to 6 officers with addresses; FEI number; last transaction date; annual report dates; NO NAICS",https://dos.fl.gov/sunbiz/other-services/data-downloads/quarterly-data/,high,"free public SFTP (sftp.floridados.gov; user Public) with no registration; account; or FOIA request; also fictitious-name (DBA); general partnership and federal tax lien files"
FL,contractor_board,Florida DBPR Construction Industry Licensing Board,yes,CSV,free,weekly,license number; licensee name; doing-business-as name; occupation and class code; street address; city/state/zip; county code; primary and secondary status; original licensure date; effective date; expiration date; NO NAICS,https://www2.myfloridalicense.com/construction-industry/public-records/,high,direct free CSV (CONSTRUCTIONLICENSE_1.csv) verified live; excludes null/void; delinquent and involuntarily inactive records
FL,professional_board,Florida DBPR Division of Alcoholic Beverages & Tobacco,yes,CSV,free,daily,license number; owner/primary name; business/DBA name; license series/rank/class; primary and secondary status codes; original issue date; effective date; expiration date; business location and mailing address with county code; NO NAICS,https://www2.myfloridalicense.com/alcoholic-beverages-and-tobacco/public-records/,high,"14 free extracts including retail beverage licenses; tobacco dealer permits and bottle clubs; separate revoked-license file; regenerated every morning"
FL,professional_board,Florida DBPR Division of Hotels & Restaurants,yes,CSV + XLSX,free,weekly,license number; business name; facility address; county and district; license type code and rank; primary and secondary status; expiration date; inspection dates; risk level; NO NAICS,https://www2.myfloridalicense.com/hotels-restaurants/public-records/,high,free district-level current-year extracts plus statewide annual files back to FY2016-17; food service and lodging establishments
FL,ucc,FloridaUCC LLC / Image API LLC - contract vendor operating the Florida Secured Transaction Registry for the FL Dept of State,yes,ZIP/pipe-delimited CSV,free,daily (business days),"UCC-1 filing number; filing date; filing status incl. Lapsed; cancel date; expiration/lapse date; event count; separate Debtors and Secureds files with party names and addresses; Events file for terminations/continuations; NO NAICS",https://floridaucc.com/download,high,free unauthenticated Full and rolling 30-day Regular downloads verified by actually pulling filings_full.zip; no subscription or public-records request needed
GA,sos_registry,Georgia Technology Authority / Office of Data Innovations - on behalf of GA Secretary of State Corporations Division,yes,tab-delimited plain text,"One-time purchase: $1,000; Monthly FTP subscription - Establish account: $100; Monthly data: $500",monthly (subscription) or one-time snapshot,record layout NOT published on the order page (sample data set available by email request); entity name and address expected; registration/filing dates and entity status not documented publicly; NO NAICS,https://georgia.gov/bulk-corporations-data,high,no free bulk - sold only via GTA FTP after signed Bulk Corporations Data Agreement plus W-9; fees nonrefundable; unaffiliated private resellers also sell GA entity extracts
GA,contractor_board,Georgia Secretary of State - Professional Licensing Boards (Residential & General Contractors; Electrical; Plumbing; Conditioned Air; Utility; Low Voltage),yes,text file mailed on CD,"$3,000.00 for all rosters; single-board roster price unlisted",unknown,license number; licensee name; city; state; zip; county; issue date; expiration date; active vs inactive roster selectable; no street/personal mailing address; phone or email; NO NAICS,https://sos.ga.gov/licensing-division-rosters,med,"paid mail-in roster request form with check or money order (no credit cards; no partial lists); sos.ga.gov blocks automated fetching so details come from indexed page text"
GA,professional_board,Georgia Secretary of State - Professional Licensing Boards (Cosmetology & Barbers; Funeral Service),yes,text file mailed on CD,"$3,000.00 for all rosters; single-board roster price unlisted",unknown,license number; licensee name; city; state; zip; county; issue date; expiration date; active/inactive status roster; NO NAICS,https://sos.ga.gov/page/licensing-roster-requests-form,med,same paid mail-in roster mechanism as the contractor boards; the free 'Active Licenses' report on sos.ga.gov was offline for maintenance leaving only the GOALS one-at-a-time licensee search
GA,professional_board,Georgia Department of Revenue Alcohol & Tobacco Division,yes,XLSX,free,quarterly,account/license ID; licensee name; list-format address; account commence date; license type; beer/wine/liquor indicators; local license location and type; active licenses only so no status field; NO NAICS,https://dor.georgia.gov/active-alcohol-licenses,high,free direct XLSX download verified by opening the June 2026 file; quarterly archive retained back to 2016
GA,ucc,Georgia Superior Court Clerks' Cooperative Authority (GSCCCA) UCC Central Index System,yes,unknown (download/transfer),"Daily $200.00 per day; Weekly $750.00 per week; Monthly $1,500.00 per month",daily/weekly/monthly per subscription chosen,UCC index records from 1995 to present: debtor name; secured party; filing date; filing type; county of filing; lapse/termination events; record layout not published; NO NAICS,https://www.gsccca.org/docs/ucc-documents/bulkapp.pdf,high,paid mail-in Bulk Data subscription agreement with first-month check to GSCCCA; prices read directly out of the official bulkapp.pdf order form; a separate paid web subscription covers one-at-a-time searches
